name,address01,address02,address03,city,zip,phone,services,services_two,services_three,latitude,longitude
"Life-Line Resources, LLC",1402 Logan Ave.,,,Waterloo,50703,319-234-1572,Mental health services,,,42.520486,-92.33646
DHS Targeted Case Management-Black Hawk County,1407 Independence Ave.,,4th Floor,Waterloo,50703,319-232-0477,Disability services coordination,,,42.499253,-92.306326
"Family Management Credit Counselors, Inc.",1409 W. 4th St.,,,Waterloo,50702,319-234-6695,Social security representative payee,,,42.485593,-92.353611
Country View Care Facility,1410 W. Dunkerton Rd.,,,Waterloo,50703,319-291-2509,Nursing facility,,,42.571656,-92.36543
"Unlimited Services, Inc.",1418 S. Hwy 52,,1418 S. Hwy 52,Guttenberg,52052,563-252-1062,Work services,Supported community living,,42.7695958,-91.1002771
Adult Crisis Stabilization Center,1440 W. Dunkerton Rd.,,,Waterloo,50703,319-291-2455,Crisis services,,,42.5706578,-92.3659882
Psychiatric Associates of Northeast Iowa,146 W. Dale St.,Suite 101,,Waterloo,50703,319-226-2118,Mental health services,,,42.5257706,-92.3395063
Duncan Heights,1465 Highway 18,,,Garner,50438-9619,641-923-3337,Residential care facility,,,43.1047374,-93.7017226
MET Transit Authority of Black Hawk County,1515 Black Hawk St.,,,Waterloo,50702,319-234-5714,Transportation,,,42.489674,-92.3286509
"Lehman, Pamela LMSW",1627 National Ave.,,,Fort Dodge,50501,515-955-3055,Mental health services,,,42.55402,-94.198515
Creative Services-We Work,1660 Panoramic Rd.,,,Decorah,52101,563-380-2082,Work services,,,43.312176,-91.724985
"Comprehensive Systems, Inc.",1700 Clark St.,,,Charles City,50616,641-228-4842,Supported community living,Nursing facility for intellectual disability,,43.0605,-92.6667159
"Northeast Iowa Interpreting, Inc.",1707 Primrose Drive,,,Cedar Falls,50613,319-277-8174,Interpreting services for the hearing impaired,,,42.504156,-92.425709
"Christensen, Judith LLC",1728 Central Ave.,Suite #14,P.O. Box 401,Ft. Dodge,50501,,Mental health services,,,42.50649,-94.173987
Lincoln Mental Health,1728 Central Ave.,Suite #14,,Ft. Dodge,50501,515-955-1836,Mental health services,,,42.506386,-94.425709
"Timi Jordison Psychological Services, P.C.",1728 Central Ave.,Suite #14,,Fort Dodge,50501,515-573-3628,Mental health services,,,42.506342,-94.173807
"Echo Plus, Inc.",1808 Jackson Ave.,,,Spirit Lake,51360,,Work services,Supported community living,,43.4225286,-95.1049565
Allen Hospital Mental Health,1825 Logan Ave.,,,Waterloo,50703,319-235-3920,Inpatient mental health,,,42.526653,-92.339567
"Gundersen Clinic, Ltd.",1830 State Highway 9,,,Decorah,52101,608-775-0531,Mental health services,,,43.2905872,-91.7631789
"Prairie View Management, Inc.",18569 Lane Rd.,,,Fayette,52142,563-425-3291,Residential care facility,Supported community living,,42.9002172,-91.8339549
Northern Lights Alliance for the Homeless,2 South Adams,,,Mason City,50401,641-423-5920,Homeless shelter,,,43.151563,-93.204735
Cornerstone Family Practice,200 Main St.,,P.O. Box 550,Guttenberg,52052-0550,563-252-2141,Mental health services,,,42.7855126,-91.0999299
Mercy Home Health Care,"201 19th St., S.W.",,,Mason City,50401,641-422-6444,Home health care,,,43.1337312,-93.2073656
Life Connections-Mason City,"201 1st St., SE",Suite #108,,Mason City,50401,319-404-1942,Mental health services,,,43.1508629,-93.1978195
Seasons Center for Behavioral Health,201 E. 11th St.,,,Spencer,51301,1-800-242-5101,Mental health services,,,43.1496972,-95.1414424
"Brink, Doug LMFT, LISW","202 1st St., SE",Suite #107,,Mason City,50401,641-423-3778,Mental health services,,,43.151155,-93.197423
DHS Targeted Case Management-Winneshiek County,204 W. Broadway St.,,,Decorah,52101,563-557-2488,Disability services coordination,,,43.3023961,-91.787225
"West Fork Services, Inc.","21 Taft St., North",,P.O. Box 587,Humboldt,50548,515-332-2841,Work services,Supported community living,,42.7213143,-94.2176208
Northeast Iowa Area Agency on Aging,2101 Kimball Ave.,#320,P.O. Box 388,Waterloo,50704,319-272-2244,Aging services,,,42.4705218,-92.3569423
Tama County Case Management,211 W. State St.,,,Toledo,52342,641-484-4191,Disability services coordination,,,41.9966856,-92.5799777
Hope Haven,"212 1st St., SE",,,Mason City,50401,641-380-0143,Psychiatric rehabilitation,,,43.1508916,-93.1973002
NAMI Black Hawk County,212 W. Dale St.,Allen Hospital,,Waterloo,50703,319-235-5263,Family & peer support,,,42.5257679,-92.3403571
Winnebago County Public Health,216 S. 4th St.,,,Forest City,50436,641-585-4763,Home health care,,,43.2622563,-93.6372016
Country Winds Manor/Howard Residential Care Facility,21668 80th St.,,,Cresco,52136,563-547-2398,Residential care facility,,,43.400082,-92.1583089
Cerro Gordo Public Health,22 N. Georgia Ave.,Suite #300,,Mason City,50401,641-421-9300,Home health care,,,43.1519993,-93.1962551
DHS Targeted Case Management-Cerro Gordo County,22 N. Georgia Ave.,Suite 204,,Mason City,50401,641-422-1217,Disability services coordination,,,43.152441,-93.196895
"TASC, Inc.","2213 Mt. Olivet Rd., NW",,,Waukon,52172,563-568-4060,Work services,Supported community living,,43.2909297,-91.4996922
Connect America,228 3rd. St.,,P.O. Box 220,Parkersburg,50665,319-231-4208,Personal emergency response,Automated med minder systems,,42.5784031,-92.787243
Iowa Northland Regional Transit Commission,229 East Park Ave.,,,Waterloo,50703,319-233-5213,Transportation,,,42.499798,-92.33658
Scenic Acres,23105 Granite Ave.,,,St. Olaf,52072,563-245-2640,Residential care facility,Supported community living,,42.8917047,-91.3487314
Mental Health Center of North Iowa,235 South Eisenhower,,,Mason City,50401,641-424-2075,Mental health services,,,43.149707,-93.260029
Chickasaw/Mitchell County Case Management,24 N. Chestnut,,P.O. Box 229,New Hampton,50659,641-394-3426,Disability services coordination,,,43.0595179,-92.3153568
"Oneota Riverview Care Facility, Inc. D/B/A Wellington Place",2479 River Rd.,,,Decorah,52101,563-382-9691,Residential care facility,,,43.300197,-91.746498
Mason City Clinic Psychiatric,250 South Crescent Drive,,,Mason City,50401,641-422-6509,Mental health services,,,43.1495422,-93.2142418
Waterloo Visiting Nursing Association,2530 University Ave.,Suite #3,,Waterloo,50701,319-235-6201,Home health care,,,42.496946,-92.378985
Chickasaw County Public Health & Home Care Services,260 E. Prospect,,P.O. Box 355,New Hampton,50659,641-394-4053,Home health care,,,43.0602788,-92.3120208
Goodwill Industries of Northeast Iowa,2640 Falls Ave.,,,Waterloo,50701,319-234-4626,Work services,Supported community living,,42.50121,-92.380405
Harmony House,2950 West Shaulis Rd.,,,Waterloo,50701,319-234-4495,Nursing facility for intellecutual disability,Brain injury,,42.443506,-92.415698
"Hageman, Deana LBSW",2961 370th St.,,,Decorah,52101,563-419-0715,Work services,Residential care facility,Supported community living,43.471473,-91.985499
Cerro Gordo County Case Management,"3 4th St., NE",,,Mason City,50401,641-421-3122,Disability services coordination,,,43.1553883,-93.2010874
Alternative Treatment Associates,307 Wilson St.,,P.O. Box 308,Postville,52162,563-864-7122,Mental health services,,,43.0831894,-91.5614352
"Exceptional Opportunities, Inc.",310 Wisconsin St.,,,Burt,50522,515-924-4101,Work services,Supported community living,,43.2015775,-94.2204536
Cedar Valley Community Support Services,3121 Brockway Rd.,,,Waterloo,50701,319-233-1288,Supported community living,,,42.4672323,-92.3587497
Cedar Falls Counseling Associates,324 W. 3rd. St.,,,Cedar Falls,50613,319-277-4383,Mental health services,,,42.5357902,-92.449228
Black Hawk-Grundy Mental Health Center,3251 W. 9th St.,,,Waterloo,50702,319-234-2893,Mental health services,,,42.4648452,-92.3444346
Institute for Therapy & Psychologial Solutions,3275 W. 4th St.,,,Waterloo,50701,319-833-0072,Supported community living,,,42.471339,-92.378628
"Always Best Care of the Cedar Valley, Inc.",3336 Kimball Ave.,Suite #152,P.O. Box 1952,Waterloo,50704,319-415-7135,Home health care,,,42.463766,-92.357577
North Star Community Services,3420 University,,,Waterloo,50701,319-236-0901,Work services,Supported community living,,42.503791,-92.392152
Covenant Clinic Psychiatry,3421 W. 9th St.,,,Waterloo,50702,319-272-7795,Mental health services,,,42.4641049,-92.3454319
Covenant Medical Center,3421 W. 9th St.,,,Waterloo,50702,319-272-7795,Inpatient mental health,,,42.462208,-92.347577
Horizons Unlimited,3826 460th St.,,P.O. Box 567,Emmetsburg,50536,712-852-2211,Work services,Supported community living,,43.0943041,-94.6787513
Mitchell County Care Facility,3834 March Ave.,,,Osage,50461,641-732-3145,Residential care facility,,,43.30846,-92.7907732
"Exceptional Persons, Inc.",3845 Paige Dr.,,P.O. Box 4090,Waterloo,50704,319-232-6671,Work services,Supported community living,,42.459634,-92.3394409
Behavioral Health Options-Ken Zimmerman,4 Hawthorn Rd.,,P.O. Box 379,Mason City,50402,641-512-5565,Mental health services,,,43.152805,-93.16316
"Cote, Peter LISW",4041 Crossway Drive,Apt. #301,,Waterloo,50701,319-230-5012,Mental health services,,,42.5037499,-92.405659
North Iowa Transition Center,408 First St. NW,,,Mason City,50401,641-424-8708,Supported community living,,,43.1527177,-93.2077633
"Friendship Haven, Inc.",420 Kenyon Rd.,,,Ft. Dodge,50501,515-573-2121,Adult day care services,,,42.4873111,-94.1978097
Butler County Public Health,428 6th St.,,,Allison,50602,319-267-2934,Home health care,,,42.7555679,-92.7954866
"Francis Lauer, Inc.",50 N. Eisenhower,,,Mason City,50401,641-423-7362,Childrens' mental health services,,,43.1515771,-93.2606409
Families First Counseling Services,501 Sycamore St.,Suite #738,,Waterloo,50703,319-433-0395,Mental health services,,,42.498782,-92.336246
Renee's Loving Care,514 Elm St.,,,Osage,50461,641-220-0455,Home health care,,,43.2772621,-92.8142979
Cornerstone Counseling & Mediation Services,516 N. Jefferson Ave.,,,Mason City,50401,641-424-8344,Mental health services,,,43.156864,-93.206386
North Iowa Area Council of Governments,"525 6th St., SW",,,Mason City,50401-5058,641-423-0491,Transportation,,,43.145358,-93.210165
Midas Council of Governments-DART,"530 1st Ave., S",,,Ft. Dodge,50501,515-576-7183,Transportation,,,42.5038286,-94.1900041
DHS Targeted Case Management-Clayton County,600 Gunder Rd. NE,Suite 6,,Elkader,52043,800-397-0477,Disability services coordination,,,42.8691967,-91.3991285
"G&G Living Centers, Inc.",602 Kosciusko St.,,,Guttenberg,52052-0967,563-252-3811,Work services,Supported community living,,42.797835,-91.104842
Opportunity Homes,606 Iowa Ave.,,P.O. Box 166,Decorah,52101,563-382-8140,Supported community living,,,43.307557,-91.803526
Spectrum Network,607 Washington St.,,P.O. Box 22,Decorah,52101,563-382-8401,Work services,,,43.298782,-91.786316
Emmet County Case Management,609 1st Ave N,,,Estherville,51334,712-362-2452,Disability services coordination,,,43.4029497,-94.8365656
Grundy County Case Management,704 H Ave.,,,Grundy Center,50638,319-824-6779,Disability services coordination,,,42.3604956,-92.772697
"Choice Employment Services, LLC",709 Decorah Ave.,,,Decorah,52101,563-419-8278,Work services,,,43.3057962,-91.7775986
Berryhill Center for Mental Health,720 Kenyon Rd.,,,Fort Dodge,50501,515-955-7171,Mental health services,,,42.4918679,-94.1903448
Boyle Counseling & Consulting LLC,722 Water St.,Suite #407,,Waterloo,50703,319-610-4179,Mental health services,,,42.496276,-92.335481
Webster County Case Management,"723 1st Ave., S",,,Ft. Dodge,50501,515-573-1485,Disability services coordination,,,42.5039522,-94.1881116
Webster County Health Department,"723 1st Ave., S",,,Ft. Dodge,50501,515-573-4107,Home health care,,,42.503788,-94.188071
Community & Family Resources,726 S. 17th St.,,,Ft. Dodge,50501,515-576-7261,Mental health,Substance abuse services,,42.4983977,-94.1748268
Psychiatry Lee & Associates,804 Kenyon Rd.,,,Ft. Dodge,50501,,Mental health services,,,42.4904232,-94.1913736
Miller Counseling Services LLC,805 Central Ave.,Suite #200,,Ft. Dodge,50501,515-573-7682,Mental health services,,,42.5050641,-94.1873878
"Schuman, Cindy LISW",805 Central Ave.,Suite #500,Snell Building,Fort Dodge,50501,515-570-8561,Mental health services,,,42.504951,-94.187325
"Grossnickle, Kay, ARNP",809 Central Ave.,Suite #420,,Ft. Dodge,50501,,Mental health services,,,42.5050712,-94.1873328
"Hedican, Kathryn LLC",821 Wendy Rd.,,,Waterloo,50701,319-504-5740,Mental health services,,,42.46206,-92.364198
Avera Holy Family Health Services,826 N. 8th St.,,,Estherville,51334,712-362-2631,Mental health services,,,43.4093013,-94.8342294
Crossroads Counseling,900 Central Ave.,Suite #23,,Fort Dodge,50501,515-570-0544,Mental health services,,,42.5052742,-94.1860859
Region 6 Transportation (Tama County),903 E. Main St.,,,Marshalltown,50158,641-752-6202,Transportation,,,42.0491703,-92.897522
"Northeast Iowa Behavioral Health, Inc.",905 Montgomery St.,,P.O. Box 349,Decorah,52101,563-382-3649,Mental health services,,,43.294528,-91.7711755
Genesis Development,915 W. 5th St.,,P.O. Box 327,Boone,50036,515-386-3017,Work services,Residential care facility,Supported community living,42.0612485,-93.9044816
Worth County Public Health,"95 9th St., N",,,Northwood,50459,641-324-1741,Home health care,,,43.4451323,-93.2195584
"Rodenburgh, Robyn Inc.",978 Home Plaza,Suite #200,,Waterloo,50701,319-231-5871,Mental health services,,,42.45939,-92.375117
